start_ip,end_ip,join_key,asn,domain,name,type,country
2603:f65d:4000::,2603:f65d:7fff:ffff:ffff:ffff:ffff:ffff,2603:f65d:4000::,AS397165,digitalworkspaces.com,EpicUp Holdings Inc,business,US
12.146.36.0,12.146.36.255,12.146.0.0,AS397602,borealisbroadband.net,BOREALIS BROADBAND INC.,isp,US
202.34.90.0,202.34.90.255,202.34.0.0,AS4713,ntt.com,NTT Communications Corporation,isp,JP
240c:c272:c000::,240c:c272:ffff:ffff:ffff:ffff:ffff:ffff,240c:c272:c000::,AS23910,cernet.edu.cn,China Next Generation Internet CERNET2,education,CN
119.15.0.0,119.15.8.255,119.15.0.0,AS137471,nzdf.mil.nz,New Zealand Defence Forces,business,NZ
2409:426b:4000::,2409:426b:7fff:ffff:ffff:ffff:ffff:ffff,2409:426b:4000::,AS55836,jio.com,Reliance Jio Infocomm Limited,isp,IN
91.212.2.0,91.212.2.255,91.212.0.0,AS41218,hilding.pl,Hilding Anders Polska Sp. z o.o.,business,PL
2a04:ba87::,2a04:ba87:3fff:ffff:ffff:ffff:ffff:ffff,2a04:ba87::,AS202217,wilken-rz.de,Wilken Data Service Center GmbH,business,DE
2a04:edc7:4000::,2a04:edc7:7fff:ffff:ffff:ffff:ffff:ffff,2a04:edc7:4000::,AS200437,arsma.pl,Wojewodztwo Mazowieckie,business,PL
211.139.247.0,211.139.247.255,211.139.0.0,AS9808,10086.cn,"China Mobile Communications Group Co., Ltd.",isp,CN
2001:5682::,2001:5682:3fff:ffff:ffff:ffff:ffff:ffff,2001:5682::,AS1273,vodafone.com,Vodafone Group PLC,isp,EU
21.91.0.0,21.91.255.255,21.91.0.0,AS749,mail.mil,DoD Network Information Center,business,US
2800:2834:4000::,2800:2834:7fff:ffff:ffff:ffff:ffff:ffff,2800:2834:4000::,AS7303,telecom.com.ar,Telecom Argentina S.A.,isp,AR
151.43.0.0,151.43.255.255,151.43.0.0,AS1267,windtre.it,WIND TRE S.P.A.,isp,IT
2803:bf60::,2803:bf60:3fff:ffff:ffff:ffff:ffff:ffff,2803:bf60::,AS269840,venite.com.gt,SUPERWIFI DE GUATEMALA S.A,isp,GT
2a00:14c0:8000::,2a00:14c0:bfff:ffff:ffff:ffff:ffff:ffff,2a00:14c0:8000::,AS35382,momentdigital.fi,Moment Digital Oy,hosting,FI
240a:ef22::,240a:ef22:3fff:ffff:ffff:ffff:ffff:ffff,240a:ef22::,AS148000,dns.nic.in,1.10.10.10 - Indian Public DNS,business,IN
80.95.8.0,80.95.15.255,80.95.0.0,AS328471,herotel.com,HERO TELECOMS (PTY) LTD,isp,ZA
2a0d:dd83:8000::,2a0d:dd83:bfff:ffff:ffff:ffff:ffff:ffff,2a0d:dd83:8000::,AS200308,emdyn.com,EMDYN AG,business,CH
2402:e800:c000::,2402:e800:ffff:ffff:ffff:ffff:ffff:ffff,2402:e800:c000::,AS37912,iprio.com,IPRIO Corporation.,business,JP
103.93.12.0,103.93.15.255,103.93.0.0,AS141711,fiberbeam.pk,Fiber Beam Pvt Limited,isp,PK
2003:18cf:c000::,2003:18cf:ffff:ffff:ffff:ffff:ffff:ffff,2003:18cf:c000::,AS3320,telekom.com,Deutsche Telekom AG,isp,DE
117.55.251.0,117.55.253.255,117.55.0.0,AS135300,mbt.com.mm,"Myanmar Broadband Telecom Co., Ltd",isp,MM
85.195.0.0,85.195.63.255,85.195.0.0,AS35706,netatonce.se,Net at Once Sweden AB,isp,SE
2606:b400:8820::,2606:b400:8820:ffff:ffff:ffff:ffff:ffff,2606:b400:8000::,AS7160,oracle.com,Oracle Corporation,business,US
2003:864::,2003:864:3fff:ffff:ffff:ffff:ffff:ffff,2003:864::,AS3320,telekom.com,Deutsche Telekom AG,isp,DE
167.100.98.0,167.100.99.255,167.100.0.0,AS9009,m247.com,M247 Europe SRL,hosting,RO
91.215.8.0,91.215.11.255,91.215.0.0,AS29074,faust.net.ua,FAUST ISP LTD.,isp,UA
91.214.12.0,91.214.14.255,91.214.0.0,AS49256,industrialpackaging.com,INDUSTRIA MUNDUM S.R.L.,business,RO
198.90.76.0,198.90.79.255,198.90.0.0,AS40108,lognet.ca,LOGNET,isp,CA
2c0e:2b7e:4000::,2c0e:2b7e:7fff:ffff:ffff:ffff:ffff:ffff,2c0e:2b7e:4000::,AS5713,telkom.co.za,Telkom SA Ltd.,isp,ZA
2406:840:9700::,2406:840:97ff:ffff:ffff:ffff:ffff:ffff,2406:840:8000::,AS140731,tohunet.com,TOHU Public Internet,business,CN
2a06:d984:c000::,2a06:d984:ffff:ffff:ffff:ffff:ffff:ffff,2a06:d984:c000::,AS51539,auis.edu.iq,The American University of Iraq-Sulaimani,education,IQ
240c:cf90:8000::,240c:cf90:bfff:ffff:ffff:ffff:ffff:ffff,240c:cf90:8000::,AS23910,cernet.edu.cn,China Next Generation Internet CERNET2,education,CN
70.165.149.0,70.165.159.255,70.165.0.0,AS22773,cox.com,Cox Communications Inc.,isp,US
2a0d:940::,2a0d:940:3fff:ffff:ffff:ffff:ffff:ffff,2a0d:940::,AS39191,gnr.ru,GNR Group LLC,business,RU
2603:2827::,2603:2827:3fff:ffff:ffff:ffff:ffff:ffff,2603:2827::,AS33491,comcast.com,"Comcast Cable Communications, LLC",isp,US
2a13:543:8000::,2a13:543:bfff:ffff:ffff:ffff:ffff:ffff,2a13:543:8000::,AS60781,leaseweb.com,LeaseWeb Netherlands B.V.,hosting,NL
2a02:25e0:7700::,2a02:25e0:77ff:ffff:ffff:ffff:ffff:ffff,2a02:25e0:4000::,AS41691,sumtel.ru,PJSC Rostelecom,isp,RU
180.191.220.0,180.191.220.255,180.191.0.0,AS132199,globe.com.ph,Globe Telecom Inc.,isp,PH
103.104.124.0,103.104.127.255,103.104.0.0,AS135225,smartnetisp.com,SMART NET INDIA PVT LTD,isp,IN
2800:2697::,2800:2697:3fff:ffff:ffff:ffff:ffff:ffff,2800:2697::,AS7303,telecom.com.ar,Telecom Argentina S.A.,isp,AR
2408:27d:8000::,2408:27d:bfff:ffff:ffff:ffff:ffff:ffff,2408:27d:8000::,AS9595,ntt-me.co.jp,NTT-ME Corporation,business,JP
193.57.112.0,193.57.119.255,193.57.0.0,AS8255,e-i.com,Euro-Information-Europeenne de Traitement de l'Information SAS,business,FR
240a:c3b1:4000::,240a:c3b1:7fff:ffff:ffff:ffff:ffff:ffff,240a:c3b1:4000::,AS137726,pcitc.com,China Petroleum & Chemical Corporation,business,CN
2600:161f:8000::,2600:161f:bfff:ffff:ffff:ffff:ffff:ffff,2600:161f:8000::,AS40788,start.ca,Start Communications,isp,CA
240c:c0ad:8000::,240c:c0ad:bfff:ffff:ffff:ffff:ffff:ffff,240c:c0ad:8000::,AS23910,cernet.edu.cn,China Next Generation Internet CERNET2,education,CN
2a0a:e945:8000::,2a0a:e945:bfff:ffff:ffff:ffff:ffff:ffff,2a0a:e945:8000::,AS207543,dug.com,DOWNUNDER GEOSOLUTIONS (LONDON) PTY LIMITED,business,GB
2a06:bc45:8000::,2a06:bc45:bfff:ffff:ffff:ffff:ffff:ffff,2a06:bc45:8000::,AS203939,mosaicdataservices.com,"Mosaic Data Services, Inc.",hosting,US
162.247.188.0,162.247.191.255,162.247.0.0,AS14543,srt.com,"SRT Communications, Inc.",isp,US
2c0e:2823:8000::,2c0e:2823:bfff:ffff:ffff:ffff:ffff:ffff,2c0e:2823:8000::,AS5713,telkom.co.za,Telkom SA Ltd.,isp,ZA
194.50.107.0,194.50.107.255,194.50.0.0,AS39658,scb.se,Statistics Sweden,business,SE
2408:157:c000::,2408:157:ffff:ffff:ffff:ffff:ffff:ffff,2408:157:c000::,AS9595,ntt-me.co.jp,NTT-ME Corporation,business,JP
2a12:f3c5:8000::,2a12:f3c5:bfff:ffff:ffff:ffff:ffff:ffff,2a12:f3c5:8000::,AS13347,midwestwirecable.com,Midwest Cable,isp,US
2a02:31d7:c000::,2a02:31d7:ffff:ffff:ffff:ffff:ffff:ffff,2a02:31d7:c000::,AS6805,telefonica.de,Telefonica Germany GmbH & Co.OHG,isp,DE
91.196.71.0,91.196.71.255,91.196.0.0,AS40065,cnservers.com,CNSERVERS LLC,hosting,US
195.184.72.0,195.184.72.255,195.184.0.0,AS201942,soltia.es,Soltia Consulting SL,hosting,ES
2a00:2100:8000::,2a00:2100:bfff:ffff:ffff:ffff:ffff:ffff,2a00:2100:8000::,AS5400,bt.com,British Telecommunications PLC,isp,GB
2a01:17e4:c000::,2a01:17e4:ffff:ffff:ffff:ffff:ffff:ffff,2a01:17e4:c000::,AS5617,orange.pl,Orange Polska Spolka Akcyjna,isp,PL
